Date,Movie ,Location,Showtime,Type,Age Rating
18-Nov-19,The Lighthouse,Scotiabank Theatre,10:15 PM,Regular,14A
18-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,1:00 PM,Regular,18A
18-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,3:20 PM,Regular,18A
18-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,10:40 PM,Regular,18A
18-Nov-19,Midway,Carlton Cinema,3:40 PM,Regular,PG
18-Nov-19,Last Christmas,Carlton Cinema,4:00 PM,Regular,PG
18-Nov-19,Last Christmas,Carlton Cinema,7:00 PM,Regular,PG
18-Nov-19,Judy,Carlton Cinema,4:05 PM,Regular,PG
18-Nov-19,Judy,Carlton Cinema,7:05 PM,Regular,PG
18-Nov-19,Doctor Sleep,Carlton Cinema,3:30 PM,Regular,14A
18-Nov-19,Doctor Sleep,Carlton Cinema,6:30 PM,Regular,14A
18-Nov-19,Charlie's Angels,Carlton Cinema,3:55 PM,Regular,PG
18-Nov-19,Charlie's Angels,Carlton Cinema,6:55 PM,Regular,PG
18-Nov-19,Harriet,Carlton Cinema,3:45 PM,Regular,PG
18-Nov-19,Harriet,Carlton Cinema,6:45 PM,Regular,PG
18-Nov-19,Terminator: Dark Fate,Carlton Cinema,3:50 PM,Regular,14A
18-Nov-19,Terminator: Dark Fate,Carlton Cinema,6:50 PM,Regular,14A
18-Nov-19,Playing With Fire,Carlton Cinema,7:10 PM,Regular,G
18-Nov-19,Motherless Brooklyn,Carlton Cinema,3:35 PM,Regular,14A
18-Nov-19,Motherless Brooklyn,Carlton Cinema,6:35 PM,Regular,14A
18-Nov-19,The Incredible 25th Year of Mitzi Bearclaw,Carlton Cinema,4:10 PM,Regular,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,12:30 PM,VIP 19+,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,3:30 PM,VIP 19+,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,6:45 PM,VIP 19+,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,10:00 PM,VIP 19+,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,1:35 PM,IMAX,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,4:30 PM,IMAX,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,7:25 PM,IMAX,PG
19-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,10:20 PM,IMAX,PG
19-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,11:00 AM,VIP 19+,14A
19-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,2:30 PM,VIP 19+,14A
19-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,6:00 PM,VIP 19+,14A
19-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,9:30 PM,VIP 19+,14A
19-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,11:30 AM,VIP 19+,PG
19-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,3:00 PM,VIP 19+,PG
19-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,7:15 PM,VIP 19+,PG
19-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,11:00 PM,VIP 19+,PG
19-Nov-19,Joker,Cineplex Yonge-Dundas,2:00 PM,VIP 19+,14A
19-Nov-19,Joker,Cineplex Yonge-Dundas,5:30 PM,VIP 19+,14A
19-Nov-19,Joker,Cineplex Yonge-Dundas,9:00 PM,VIP 19+,14A
19-Nov-19,Joker,Cineplex Yonge-Dundas,1:20 PM,Ultra AVX,14A
19-Nov-19,Joker,Cineplex Yonge-Dundas,4:30 PM,Ultra AVX,14A
19-Nov-19,Joker,Cineplex Yonge-Dundas,7:50 PM,Ultra AVX,14A
19-Nov-19,Joker,Cineplex Yonge-Dundas,10:40 PM,Ultra AVX,14A
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,1:00 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,4:00 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,7:45 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,10:30 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,2:00 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,4:40 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,7:20 PM,VIP 19+,PG
19-Nov-19,Last Christmas,Cineplex Yonge-Dundas,10:00 PM,VIP 19+,PG
19-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,7:40 PM,Regular 3D,PG
19-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,10:30 PM,Regular 3D,PG
19-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,1:50 PM,Regular,PG
19-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,4:40 PM,Regular,PG
19-Nov-19,Bala (Hindi w/e.s.t),Cineplex Yonge-Dundas,3:40 PM,Regular,PG
19-Nov-19,Bala (Hindi w/e.s.t),Cineplex Yonge-Dundas,7:00 PM,Regular,PG
19-Nov-19,Bala (Hindi w/e.s.t),Cineplex Yonge-Dundas,10:20 PM,Regular,PG
19-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,3:30 PM,Regular,PG
19-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,6:30 PM,Regular,PG
19-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,7:00 PM,Regular,PG
19-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,9:30 PM,Regular,PG
19-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,10:00 PM,Regular,PG
19-Nov-19,Black and Blue,Cineplex Yonge-Dundas,9:50 PM,Regular,14A
19-Nov-19,Die Hard 2 - Flashback Film Series,Cineplex Yonge-Dundas,2:40 PM,Regular,R
19-Nov-19,Harriet,Cineplex Yonge-Dundas,6:50 PM,Regular,PG
19-Nov-19,Harriet,Cineplex Yonge-Dundas,9:40 PM,Regular,PG
19-Nov-19,Hustlers,Cineplex Yonge-Dundas,6:50 PM,Regular,14A
19-Nov-19,Hustlers,Cineplex Yonge-Dundas,10:15 PM,Regular,14A
19-Nov-19,IT Chapter Two,Cineplex Yonge-Dundas,9:00 PM,Regular,14A
